unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.7145504e+09,2853.2983333333323,ETH
1.7145468e+09,2903.858333333335,ETH
1.7145432e+09,2979.106666666666,ETH
1.7145396e+09,2998.4775,ETH
1.714536e+09,3007.9225,ETH
1.7145324e+09,2994.787500000001,ETH
1.7145288e+09,2985.9666666666653,ETH
1.7145252e+09,3001.6733333333336,ETH
1.7145216e+09,3008.258333333334,ETH
1.714518e+09,3012.3674999999985,ETH
1.7145144e+09,3006.3625,ETH
1.7145108e+09,2981.1500000000005,ETH
1.7145072e+09,2963.0983333333324,ETH
1.7145036e+09,2957.338333333335,ETH
1.7145e+09,2979.085833333335,ETH
1.7144964e+09,2987.5874999999987,ETH
1.7144928e+09,2980.5674999999997,ETH
1.7144892e+09,3003.5808333333357,ETH
1.7144856e+09,3005.942499999997,ETH
1.714482e+09,3011.9333333333343,ETH
1.7144784e+09,3008.235833333335,ETH
1.7144748e+09,3027.876666666668,ETH
1.7144712e+09,3047.6174999999994,ETH
1.7144676e+09,3064.817499999997,ETH
1.714464e+09,3134.121666666668,ETH
1.7144604e+09,3170.400000000001,ETH
1.7144568e+09,3171.6649999999995,ETH
1.7144532e+09,3169.8991666666675,ETH
1.7144496e+09,3178.880833333333,ETH
1.714446e+09,3187.0375000000004,ETH
1.7144424e+09,3185.1066666666643,ETH
1.7144388e+09,3223.974999999999,ETH
1.7144352e+09,3219.391666666664,ETH
1.7144316e+09,3224.2716666666656,ETH
1.714428e+09,3197.2683333333325,ETH
1.7144244e+09,3174.981666666664,ETH
1.7144208e+09,3183.6774999999993,ETH
1.7144172e+09,3172.439166666666,ETH
1.7144136e+09,3172.631666666667,ETH
1.71441e+09,3170.355833333335,ETH
1.7144064e+09,3176.1425000000013,ETH
1.7144028e+09,3177.5091666666676,ETH
1.7143992e+09,3158.802499999998,ETH
1.7143956e+09,3151.4541666666655,ETH
1.714392e+09,3166.061666666668,ETH
1.7143884e+09,3171.702499999999,ETH
1.7143848e+09,3186.441666666665,ETH
1.7143812e+09,3175.261666666666,ETH
1.7143776e+09,3180.1133333333314,ETH
1.714374e+09,3186.2850000000035,ETH
1.7143704e+09,3191.0475000000006,ETH
1.7143668e+09,3198.161666666667,ETH
1.7143632e+09,3196.5983333333297,ETH
1.7143596e+09,3208.7533333333345,ETH
1.714356e+09,3258.688333333333,ETH
1.7143524e+09,3279.9708333333306,ETH
1.7143488e+09,3280.0675000000015,ETH
1.7143452e+09,3274.198333333331,ETH
1.7143416e+09,3304.050833333334,ETH
1.714338e+09,3309.7908333333344,ETH
1.7143344e+09,3315.869166666665,ETH
